1.7033,-1.38636,1.63733,-1.8487,-1.59487,3.24044
1.70332,-1.38631,1.63728,-1.84869,-1.59485,3.2404
1.67221,-1.39976,1.64117,-1.83451,-1.60991,3.21266
1.62714,-1.4172,1.63598,-1.80928,-1.62761,3.17393
1.58349,-1.43152,1.62342,-1.78185,-1.64392,3.12972
1.54128,-1.44125,1.60503,-1.75728,-1.65547,3.09026
1.50303,-1.44788,1.5878,-1.73825,-1.66306,3.05351
1.46994,-1.45141,1.57678,-1.72782,-1.66893,3.02059
1.43647,-1.45359,1.56748,-1.72071,-1.67163,2.98644
1.40511,-1.45302,1.56214,-1.71917,-1.67031,2.95494
1.71879,-1.38164,1.64126,-1.85719,-1.58976,3.25486
1.71882,-1.38163,1.64119,-1.85717,-1.58971,3.2549
1.69179,-1.39728,1.63706,-1.83332,-1.60173,3.2231
1.6637,-1.40999,1.62967,-1.81242,-1.61585,3.1929
1.62656,-1.4242,1.61837,-1.78955,-1.62476,3.15739
1.58997,-1.43685,1.61012,-1.77166,-1.63238,3.12323
1.55778,-1.44772,1.60457,-1.75727,-1.63328,3.09157
