1.67632,-1.35752,1.60636,-1.85266,-1.61788,3.20174
1.6763,-1.35747,1.60636,-1.85263,-1.6179,3.20171
1.70816,-1.3476,1.59159,-1.83634,-1.62566,3.21275
1.74546,-1.33388,1.57162,-1.82747,-1.62696,3.24902
1.78459,-1.31704,1.54532,-1.81552,-1.62764,3.28797
1.8202,-1.30106,1.51856,-1.80294,-1.62812,3.32377
1.8514,-1.28627,1.49129,-1.7884,-1.6287,3.35499
1.87579,-1.27324,1.46714,-1.77594,-1.62901,3.37945
1.87586,-1.2732,1.4671,-1.77597,-1.62901,3.37957
1.87587,-1.27316,1.4671,-1.77597,-1.62902,3.37955
1.90051,-1.25708,1.43187,-1.75524,-1.6291,3.40408
1.93032,-1.23699,1.3905,-1.73275,-1.62949,3.43399
1.95097,-1.22089,1.36037,-1.71685,-1.62972,3.45482
1.97109,-1.20427,1.32914,-1.70174,-1.62972,3.47484
1.99615,-1.18093,1.28658,-1.68097,-1.62989,3.50006
2.01248,-1.16494,1.25599,-1.66538,-1.63006,3.51623
